fecha,fase,grupo,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado_real_3clases,ganador_real,total_goles,estado,fecha_consulta,fuente_principal,fuente_verificacion
2026-06-11,grupos,A,Mexico,South Africa,2,0,local_gana,Mexico,2,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-12,grupos,A,South Korea,Czechia,2,1,local_gana,South Korea,3,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-12,grupos,B,Canada,Bosnia and Herzegovina,1,1,empate,Empate,2,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-13,grupos,D,United States,Paraguay,4,1,local_gana,United States,5,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-13,grupos,B,Qatar,Switzerland,1,1,empate,Empate,2,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-13,grupos,C,Brazil,Morocco,1,1,empate,Empate,2,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-14,grupos,C,Haiti,Scotland,0,1,visitante_gana,Scotland,1,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-14,grupos,D,Australia,Turkey,2,0,local_gana,Australia,2,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-14,grupos,E,Germany,Curacao,7,1,local_gana,Germany,8,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-14,grupos,F,Netherlands,Japan,2,2,empate,Empate,4,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
