numero_partido,fase,slot_local,equipo_local,grupo_local,posicion_local,puntos_local_grupos,DG_local_grupos,GF_local_grupos,GC_local_grupos,ranking_local,seed_local,slot_visitante,equipo_visitante,grupo_visitante,posicion_visitante,puntos_visitante_grupos,DG_visitante_grupos,GF_visitante_grupos,GC_visitante_grupos,ranking_visitante,seed_visitante
73,Dieciseisavos de final,2A,South Africa,A,2,4,-1,2,3,60,24,2B,Canada,B,2,4,5,8,3,30,21
74,Dieciseisavos de final,1E,Germany,E,1,6,6,10,4,10,10,3D,Paraguay,D,3,4,-2,2,4,40,31
75,Dieciseisavos de final,1F,Netherlands,F,1,7,6,10,4,8,5,2C,Morocco,C,2,7,3,6,3,7,13
76,Dieciseisavos de final,1C,Brazil,C,1,7,6,7,1,6,6,2F,Japan,F,2,5,4,7,3,18,18
77,Dieciseisavos de final,1I,France,I,1,9,6,7,1,3,1,3F,Sweden,F,3,4,0,7,7,38,26
78,Dieciseisavos de final,2E,Côte d'Ivoire,E,2,6,2,4,2,33,15,2I,Norway,I,2,6,3,7,4,31,14
79,Dieciseisavos de final,1A,Mexico,A,1,9,6,6,0,14,3,3E,Ecuador,E,3,4,0,2,2,23,27
80,Dieciseisavos de final,1L,England,L,1,7,4,6,2,4,9,3K,Congo DR,K,3,4,0,2,2,45,28
81,Dieciseisavos de final,1D,United States,D,1,6,4,8,4,17,11,3B,Bosnia-Herzegovina,B,3,4,-1,5,6,64,30
82,Dieciseisavos de final,1G,IR Iran,G,1,5,1,3,2,20,12,3I,Senegal,I,3,3,-1,5,6,15,32
83,Dieciseisavos de final,2K,Portugal,K,2,4,4,6,2,5,22,2L,Croatia,L,2,6,0,4,4,11,17
84,Dieciseisavos de final,1H,Spain,H,1,7,5,5,0,2,7,2J,Austria,J,2,6,1,4,3,24,16
85,Dieciseisavos de final,1B,Switzerland,B,1,7,4,7,3,19,8,3G,Egypt,G,3,4,1,4,3,29,25
86,Dieciseisavos de final,1J,Argentina,J,1,9,6,6,0,1,2,2H,Cape Verde,H,2,5,1,3,2,999,19
87,Dieciseisavos de final,1K,Colombia,K,1,9,3,3,0,13,4,3L,Ghana,L,3,4,0,1,1,73,29
88,Dieciseisavos de final,2D,Australia,D,2,4,0,2,2,27,23,2G,Belgium,G,2,5,1,2,1,9,20
